"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","Basophil","NK cell","T cell"
"Cma1",0,0,5.74712643678161,0,0,0,342.857142857143,10.6824925816024
"Ctsw",0,0,0,0,0,0,605.714285714286,283.086053412463
"Cxcl2",0,0,149.425287356322,111.111111111111,239.43661971831,11.4613180515759,2.85714285714286,5.34124629080119
"Cxcr2",12.3456790123457,0,17.2413793103448,0,112.676056338028,80.2292263610315,20,8.90207715133531
"Cxcr6",0,0,0,0,3.52112676056338,0,5.71428571428571,47.4777448071217
"Dpep2",0,0,45.9770114942529,0,3.52112676056338,0,0,2.9673590504451
"Ear1",18.5185185185185,0,22.9885057471264,0,373.239436619718,2.86532951289398,0,0
"Ear2",24.6913580246914,52.6315789473684,304.597701149425,66.6666666666667,278.169014084507,108.882521489971,40,16.0237388724036
"F730016J06Rik",0,0,0,0,35.2112676056338,11.4613180515759,0,0
"Fcer1a",0,0,0,0,38.7323943661972,63.0372492836676,0,0.593471810089021
"Fcer2a",6.17283950617284,0,0,0,3.52112676056338,2.86532951289398,74.2857142857143,34.4213649851632
"Fcgr4",12.3456790123457,0,22.9885057471264,0,56.3380281690141,40.1146131805158,28.5714285714286,10.6824925816024
"Fcmr",37.037037037037,0,5.74712643678161,0,3.52112676056338,11.4613180515759,185.714285714286,108.605341246291
"Fcrl1",24.6913580246914,0,5.74712643678161,0,10.5633802816901,5.73065902578797,42.8571428571429,31.4540059347181
"G430095P16Rik",6.17283950617284,0,28.735632183908,44.4444444444444,3.52112676056338,2.86532951289398,2.85714285714286,10.0890207715134
"Gapt",24.6913580246914,0,57.4712643678161,88.8888888888889,88.0281690140845,85.9598853868195,2.85714285714286,2.9673590504451
"Gm13986",0,0,0,0,3.52112676056338,5.73065902578797,0,0
"Gm20324",6.17283950617284,0,11.4942528735632,0,3.52112676056338,2.86532951289398,14.2857142857143,27.299703264095
"Gm8113",6.17283950617284,0,11.4942528735632,0,52.8169014084507,0,0,0
"Gm9733",0,52.6315789473684,45.9770114942529,22.2222222222222,17.6056338028169,20.0573065902579,8.57142857142857,1.78041543026706
"Gzma",0,0,5.74712643678161,0,7.04225352112676,5.73065902578797,7760,172.700296735905
"Gzmb",0,0,0,0,0,0,357.142857142857,10.0890207715134
"I830127L07Rik",370.37037037037,52.6315789473684,747.126436781609,1866.66666666667,1387.32394366197,1888.25214899713,117.142857142857,36.7952522255193
"Ifi205",0,0,11.4942528735632,0,0,0,2.85714285714286,3.56083086053412
