GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM2520876,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM2520882,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM2520883,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM995713,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995714,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995725,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995726,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995727,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995740,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995746,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995747,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM995748,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM258627,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM258628,Bone marrow,Bone marrow,,Bone marrow,Control,Normal,,Normal,Genotype unknown
GSM1059628,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM1059629,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM1059630,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM1059631,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM721110,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM721111,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM721112,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM1554219,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM1554220,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM1554221,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM818741,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM818742,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM258707,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM258708,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM258710,Breast,Breast,,Breast,Control,Normal,,Normal,Genotype unknown
GSM2730989,Cervix,Cervical stroma,,Cervical stroma,Control,Normal,,Normal,Genotype unknown
GSM2730992,Cervix,Cervical stroma,,Cervical stroma,Control,Normal,,Normal,Genotype unknown
GSM2730993,Cervix,Cervical stroma,,Cervical stroma,Control,Normal,,Normal,Genotype unknown
GSM2731006,Cervix,Cervical stroma,,Cervical stroma,Control,Normal,,Normal,Genotype unknown
GSM1598069,Intestine,Large intestine,Colon,Colon,Control,Normal,,Normal,Genotype unknown
GSM1598070,Intestine,Large intestine,Colon,Colon,Control,Normal,,Normal,Genotype unknown
GSM1598071,Intestine,Large intestine,Colon,Colon,Control,Normal,,Normal,Genotype unknown
GSM505628,Joint,Ankle joint,,Ankle joint,Control,Normal,,Normal,Genotype unknown
GSM505629,Joint,Ankle joint,,Ankle joint,Control,Normal,,Normal,Genotype unknown
GSM505630,Joint,Ankle joint,,Ankle joint,Control,Normal,,Normal,Genotype unknown
GSM505631,Joint,Ankle joint,,Ankle joint,Control,Normal,,Normal,Genotype unknown
GSM434116,Lung,Lung,,Lung,Control,Normal,,Normal,Wild type
GSM434117,Lung,Lung,,Lung,Control,Normal,,Normal,Wild type
GSM434118,Lung,Lung,,Lung,Control,Normal,,Normal,Wild type
GSM434119,Lung,Lung,,Lung,Control,Normal,,Normal,Wild type
GSM434120,Lung,Lung,,Lung,Control,Normal,,Normal,Wild type
GSM434130,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
