"","GSM494796","GSM494797","GSM494798","GSM494799","GSM494800","GSM494801","GSM494802"
"Atf1",6.95150569070054,6.69784841771179,7.23174804387827,6.30487749172728,7.10781155784144,7.01790638043703,6.73217805351008
"Ppp1r12b",6.02167197852707,6.04618672005949,6.16043280093308,6.40541364996077,5.9736612552633,6.1367707162829,6.02647391007091
"Myt1",5.11651591362729,5.01305253656474,4.98052143736513,5.09078813171004,5.03508002625497,5.0434536851041,5.00072112453792
"Nab1",4.53223331786212,4.68649227880038,4.89017796254664,4.70186285963455,4.5808942135821,4.79349369189195,4.87442433599538
"Nab2",6.3711976552696,6.60016240735716,6.3570433447633,6.48578739355203,6.36192385585138,6.2131287019461,6.49758899929853
"Naca",10.6418498299394,10.8727797244421,10.8051339610419,10.3953991411757,10.6360830226366,10.4440971390848,10.4049963278874
"Naga",8.15629707723368,7.90491030309602,7.42057785632806,7.12731179912099,7.2151391269902,7.62069414754611,7.78238152299919
"Naglu",7.2426764757036,7.26717707531091,7.38283917913499,7.28441504172384,7.09755822040134,7.20840174251926,7.37118985817838
"Atf3",9.66798559538521,9.31971240387256,8.77665363030742,8.60866926006104,9.61673481015084,8.49596369060254,9.00497695746659
"Hnrnpm",9.61673481015084,9.02162844571192,9.2404611033115,9.28884213621943,9.99055938707637,9.735796808738,9.53349357538758
"Nap1l1",10.1576979549618,10.3438783931883,10.2379133555917,10.1163870990381,10.3740760318385,10.2023691711812,10.3301619333299
"Nap1l2",3.99189699568563,4.00508845809136,4.0350473351966,3.94795230046168,4.23823742748831,4.00394491619051,4.07205313499559
"Nap1l3",4.182292724274,3.88200064283295,4.07422733891668,4.12237899382705,4.24168275539952,4.14485306329129,4.05944729274916
"Nap1l4",7.85646658936294,7.95156841999227,7.92845582378473,8.45106089301988,7.91137017536624,7.92433102623583,8.04807791815007
"Nars",10.92972903959,10.8183757634723,10.8658533767326,11.1318262243582,10.7163438749425,10.9152357475864,10.8183757634723
"Nasp",7.52845598036683,7.06531635639042,7.28546716577328,7.44833114022579,7.47670887313563,7.30694780537934,7.45314638047315
"Ceacam6",4.90200207523552,4.92170691437715,5.04698808297079,4.95416533242738,5.03464159042699,4.95065214525922,4.97569319505263
"Nubp1",7.1047366695273,7.11140365423545,7.1489380429452,6.78711330744353,7.31428893294058,7.07197032998237,7.18095574280975
"Nbn",6.34776836329428,6.65610961510476,6.19232324154762,6.2465756170206,6.46271265469491,6.22378849171801,6.39317505697863
"Ncam1",5.27378493567297,5.43107056565836,5.14362486703595,5.33833388417811,5.29190333243331,5.15522906846222,5.14007090423996
"Ncam2",3.93233466375672,4.02155363398322,3.79945471073572,3.85666304639376,4.22787143774487,3.74712261812525,3.85201742094721
"Ncbp1",3.99936804220168,4.08560852347612,4.0158955733134,4.01872602980756,4.04951847743118,4.00108151292315,4.05282791764924
"Ncf1",9.80382908456805,9.39856422286985,8.20864863618639,7.7926508281899,7.67937599418152,8.50892022657005,8.90560918786273
"Ncf4",7.18198918681991,6.70133650639457,6.25045974539341,5.79075466317149,5.96263994042234,6.65710573947419,6.85930782423914
"Nck1",7.85472506542241,7.19752141831625,7.99225649537496,7.41897689819813,8.06526275361364,8.32638301623914,7.96229663523966
"Ncl",11.5799919633647,11.5291870046188,11.4805538534467,11.795674644292,11.9059938088419,11.5479566567684,11.5542819029893
"Ndn",9.69358167765783,10.2148003145307,10.4920582863911,10.0538557427334,10.2964933129029,10.0391102471981,10.0743956413992
"Ndp",4.0627412279756,3.83859914871456,3.8984672528038,3.94496377633728,3.95092922832828,3.98669384358629,3.89026975240144
"Ndufa1",10.9970309068911,11.0523204840682,11.0523204840682,11.12318653215,11.0008907970249,10.9516745695792,11.0047872910832
"Ndufa2",9.09175993316612,9.56724192262426,9.59914715335251,9.52070321855065,9.28447120176329,9.35349691600387,9.425770595814
"Ndufa3",9.93858160907406,10.3670357755223,10.2571568771942,10.1900082978223,9.92839817260963,9.66939466876442,9.89000696996655
"Acly",7.54093423483576,7.53170370593882,7.8785456812677,8.28569892334494,8.02733893456994,8.20800503858804,8.61167602996128
"Ndufa6",9.30750158578429,9.7536038873125,9.64838448474962,9.72403421668718,9.66238468889178,9.57516890985486,9.69646089221785
"Ndufa7",8.91695448994267,9.39153557287939,9.28774689275023,9.35349691600387,9.28884213621943,9.19244822878648,9.30860883581825
"Ndufa8",9.71089599446668,9.82409518531829,10.0299833820583,9.42100075754497,9.95914736419804,9.79919729197387,9.93858160907406
"Neb",9.11807566378544,7.28128030690298,4.14225745629832,4.42672000250005,4.2059684376024,4.40185932351256,4.52102254907725
"Ndufa9",9.54767975149857,9.84943191617811,9.88836255561827,9.66657349568824,9.61265939912666,9.63866146173404,9.86877811332224
"Ndufa10",9.00129873807431,9.41033250898252,9.59111824831102,9.68784503990269,9.48424940978228,9.66378336199623,9.91492385089112
"Ndufab1",10.3392653385445,10.5365069900519,10.6076523243159,10.4972090831565,10.531192491702,10.5023970374629,10.6048202391126
"Ndufb1",10.471689468752,10.471689468752,10.5338454439379,10.656389100028,10.5023970374629,10.4073983816389,10.3530797693915
"Ndufb2",11.1941223860952,11.1146262602142,11.2408882076713,11.274865266508,11.0934879688239,10.9779471338656,11.4226083672168
"Ndufb3",11.0125772782396,11.1361499405361,11.0934879688239,11.3305981262587,11.3253982398726,11.1103680474941,11.0442768827162
"Atic",9.07251327669617,9.30088248952505,9.44020108797774,9.28229521443393,9.23624026028063,9.25962027219231,9.62764790871095
"Ndufb4",9.02721884822905,9.13188250248315,9.44745545678187,8.98302451356733,9.18527222970901,9.35919617852854,8.42716455245205
"Ndufb5",9.92672310548766,10.3623685309725,10.4025924548728,9.9712719700492,9.93178333047424,10.0538557427334,10.2252639779795
"Ndufb6",8.42856522444168,8.59137367750817,8.56009447350515,8.40556836551028,8.84725534868569,8.65368739000707,8.63603254957498
"Ndufb7",7.79379383527302,8.00130128143597,8.25737502394918,8.03952777698475,8.31029506418415,7.96468187606552,8.25084082640362
"Ndufb8",9.4756015782063,9.82880827661659,9.7402241904822,9.5978038365233,9.86229426615673,9.72110483443046,9.69789416894598
"Ndufc1",9.32751677772951,9.66518142046053,9.88014885753099,9.67080087681734,9.83669789245951,9.69358167765783,9.50299035626621
"Ndufc2",11.6894179181023,11.7261053795005,11.8200740106212,11.8367460635033,11.8794016933766,11.7640862342917,11.803761474968
