"","B cell","Dendritic cell","Macrophage","T cell","Basophil","Monocyte","Neutrophil","NK cell"
"Ms4a4b",21.0843373493976,26.0869565217391,40.983606557377,535.487288135593,14.3266475644699,55.2486187845304,76.9230769230769,1734.28571428571
"Mzb1",1965.86345381526,182.608695652174,90.1639344262295,39.7245762711864,5.73065902578797,5.52486187845304,28.169014084507,51.4285714285714
"Ncr1",0,0,0,4.76694915254237,0,0,3.25027085590466,645.714285714286
"Nkg7",92.8714859437751,217.391304347826,245.901639344262,3047.66949152542,246.418338108883,110.497237569061,271.939328277356,3260
"Nudt17",0,26.0869565217391,0,2.11864406779661,0,5.52486187845304,1.08342361863489,0
"Olr1",0,0,4.09836065573771,0,37.2492836676218,0,18.4182015167931,0
"Padi4",3.5140562248996,0,0,1.05932203389831,94.5558739255014,33.1491712707182,169.014084507042,8.57142857142857
"Prf1",18.0722891566265,0,8.19672131147541,65.1483050847458,0,0,7.5839653304442,491.428571428571
"Prg3",4.51807228915663,26.0869565217391,0,0.529661016949153,14.3266475644699,11.0497237569061,35.7529794149512,0
"Prss57",15.0602409638554,26.0869565217391,0,0,131.805157593123,33.1491712707182,86.1321776814735,0
"Rab44",2.00803212851406,0,40.983606557377,1.05932203389831,134.670487106017,60.7734806629834,85.0487540628386,5.71428571428571
"Rasgrp4",0.502008032128514,69.5652173913043,69.672131147541,9.00423728813559,169.054441260745,116.022099447514,202.058504875406,22.8571428571429
"Retnlg",4.51807228915663,0,524.590163934426,21.1864406779661,8.59598853868195,187.845303867403,10774.6478873239,245.714285714286
"Rgs18",0.502008032128514,8.69565217391304,4.09836065573771,0.529661016949153,74.4985673352435,38.6740331491713,53.0877573131094,5.71428571428571
"Sh2d1a",4.51807228915663,0,8.19672131147541,65.1483050847458,0,0,3.25027085590466,105.714285714286
"Sh2d2a",12.0481927710843,8.69565217391304,12.2950819672131,407.309322033898,0,5.52486187845304,8.12567713976165,194.285714285714
"Siglecf",0,8.69565217391304,28.6885245901639,3.17796610169492,8.59598853868195,11.0497237569061,18.4182015167931,0
"Skint3",0,0,0,0,0,5.52486187845304,3.25027085590466,8.57142857142857
"Slamf8",1.00401606425703,165.217391304348,110.655737704918,0.529661016949153,2.86532951289398,16.5745856353591,1.62513542795233,11.4285714285714
"Spib",69.7791164658635,365.217391304348,4.09836065573771,5.29661016949153,17.1919770773639,33.1491712707182,31.4192849404117,54.2857142857143
"Tal1",0,0,0,0,2.86532951289398,0,4.87540628385699,0
"Tarm1",0,8.69565217391304,4.09836065573771,0,5.73065902578797,0,43.8786565547129,0
"Tcf7",1.50602409638554,8.69565217391304,4.09836065573771,57.7330508474576,2.86532951289398,0,14.626218851571,80
"Tgtp2",5.52208835341365,52.1739130434783,32.7868852459016,109.639830508475,0,11.0497237569061,7.04225352112676,22.8571428571429
"Themis",2.51004016064257,0,4.09836065573771,50.8474576271187,2.86532951289398,0,3.25027085590466,11.4285714285714
"Tlr13",1.00401606425703,8.69565217391304,65.5737704918033,0,0,66.2983425414365,44.4203683640303,5.71428571428571
"Tnfrsf13c",131.526104417671,34.7826086956522,4.09836065573771,7.94491525423729,0,5.52486187845304,13.0010834236186,28.5714285714286
"Tnfrsf18",18.574297188755,86.9565217391304,4.09836065573771,88.4533898305085,25.7879656160458,0,16.7930660888407,80
"Tnip3",0,17.3913043478261,0,2.11864406779661,0,0,1.62513542795233,0
"Tpsg1",3.5140562248996,26.0869565217391,12.2950819672131,7.41525423728814,0,0,0,0
"Trac",32.1285140562249,26.0869565217391,24.5901639344262,781.25,0,0,36.8364030335861,100
"Xlr4b",16.566265060241,26.0869565217391,4.09836065573771,75.2118644067797,2.86532951289398,16.5745856353591,4.33369447453954,5.71428571428571
"Zap70",10.0401606425703,8.69565217391304,20.4918032786885,264.830508474576,2.86532951289398,0,7.04225352112676,77.1428571428571
"9830107B12Rik",0,0,36.8852459016393,1.05932203389831,77.3638968481375,5.52486187845304,56.3380281690141,0
"A530030E21Rik",36.144578313253,8.69565217391304,0,0,0,0,1.08342361863489,14.2857142857143
"Arhgef37",0,0,4.09836065573771,0,0,0,0,2.85714285714286
"Camp",0,0,0,0,56000,22.0994475138122,16923.0769230769,0
"Cd40lg",0,0,0,4.76694915254237,0,0,0.541711809317443,2.85714285714286
