"","B cell","Basophil","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell"
"Skint3",1.78890876565295,0,9.9009900990099,33.6322869955157,5.52486187845304,3.25027085590466,8.57142857142857,1.78041543026706
"Slamf8",5.36672629695885,2.86532951289398,9.9009900990099,56.8011958146487,16.5745856353591,1.62513542795233,11.4285714285714,1.18694362017804
"Spib",330.948121645796,17.1919770773639,396.039603960396,26.1584454409567,33.1491712707182,31.4192849404117,54.2857142857143,19.5845697329377
"Tal1",0.596302921884317,2.86532951289398,0,5.23168908819133,0,4.87540628385699,0,0.593471810089021
"Tarm1",4.77042337507454,5.73065902578797,0,3.73692077727952,0,43.8786565547129,0,2.9673590504451
"Tcf7",31.0077519379845,2.86532951289398,19.8019801980198,24.6636771300448,0,14.626218851571,80,275.370919881306
"Tgtp2",13.7149672033393,0,29.7029702970297,32.1375186846039,11.0497237569061,7.04225352112676,22.8571428571429,50.4451038575668
"Themis",5.36672629695885,2.86532951289398,0,8.22122571001495,0,3.25027085590466,11.4285714285714,40.9495548961424
"Tlr13",9.54084675014908,0,0,90.4334828101644,66.2983425414365,44.4203683640303,5.71428571428571,3.56083086053412
"Tlr5",0,0,9.9009900990099,0.747384155455904,0,0,0,0
"Tnfrsf13c",109.12343470483,0,9.9009900990099,14.9476831091181,5.52486187845304,13.0010834236186,28.5714285714286,11.2759643916914
"Tnfrsf18",18.4853905784138,25.7879656160458,39.6039603960396,5.97907324364723,0,16.7930660888407,80,68.2492581602374
"Tnip3",0,0,9.9009900990099,5.23168908819133,0,1.62513542795233,0,1.18694362017804
"Tpsb2",0,0,0,0,0,0,0,0
"Tpsg1",0,0,0,0,0,0,0,0
"Trac",76.3267740011926,0,0,33.6322869955157,0,36.8364030335861,100,528.783382789317
"Xlr4b",26.23732856291,2.86532951289398,19.8019801980198,13.4529147982063,16.5745856353591,4.33369447453954,5.71428571428571,40.9495548961424
"Zap70",17.2927847346452,2.86532951289398,0,12.7055306427504,0,7.04225352112676,77.1428571428571,96.1424332344214
"9830107B12Rik",0,77.3638968481375,9.9009900990099,5.97907324364723,5.52486187845304,56.3380281690141,0,1.18694362017804
"A530030E21Rik",33.9892665474061,0,9.9009900990099,8.22122571001495,0,1.08342361863489,14.2857142857143,3.56083086053412
"A930002I21Rik",0,0,0,0.747384155455904,0,0,0,3.56083086053412
"Arhgef37",0.596302921884317,0,0,8.22122571001495,0,0,2.85714285714286,0.593471810089021
"Camp",11.329755515802,56000,39.6039603960396,142.750373692078,22.0994475138122,16923.0769230769,0,7.12166172106825
"Cd40lg",0.596302921884317,0,0,0,0,0.541711809317443,2.85714285714286,1.78041543026706
"Cebpe",13.7149672033393,1143.2664756447,0,74.7384155455904,93.9226519337017,348.320693391116,11.4285714285714,2.37388724035608
"Gfi1b",2.38521168753727,2.86532951289398,0,0.747384155455904,11.0497237569061,1.62513542795233,0,0
"Gm13814",1.19260584376863,0,0,1.49476831091181,0,0,0,0
"Gm16194",0,5.73065902578797,0,0,0,0.541711809317443,0,0
"Gm43291",90.0417412045319,5.73065902578797,9.9009900990099,10.4633781763827,0,4.87540628385699,17.1428571428571,7.12166172106825
"Ngp",22.6595110316041,70349.5702005731,0,62.780269058296,11.0497237569061,25985.3737811484,22.8571428571429,16.0237388724036
"Pax5",127.01252236136,0,0,18.6846038863976,11.0497237569061,11.3759479956663,28.5714285714286,14.8367952522255
"Prg2",15.5038759689922,57.3065902578797,19.8019801980198,14.9476831091181,38.6740331491713,646.26218851571,2.85714285714286,0.593471810089021
"5730522E02Rik",0,0,0,0,0,0,0,0
"Ccr6",16.6964818127609,0,0,4.48430493273543,0,0.541711809317443,0,5.93471810089021
"Clec4a4",0,0,0,6.72645739910314,5.52486187845304,1.08342361863489,2.85714285714286,0
"Ear6",2.38521168753727,5.73065902578797,9.9009900990099,2.24215246636771,11.0497237569061,133.802816901408,5.71428571428571,0.593471810089021
"Epx",0,2.86532951289398,9.9009900990099,0.747384155455904,16.5745856353591,90.465872156013,2.85714285714286,0.593471810089021
"Gzmk",0,0,0,0,0,0,5.71428571428571,2.9673590504451
"Tmigd3",0.596302921884317,0,19.8019801980198,0.747384155455904,0,1.08342361863489,0,0.593471810089021
"Tlr8",0,0,0,0,0,0,0,0.593471810089021
"4930430E12Rik",0,0,0,0,0,0,0,0
"Muc6",0,0,0,0,0,1.08342361863489,0,0
"Fer1l5",0,0,0,0,0,0,0,0
"Tph1",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
"Gm11695",0,0,0,0,0,0,0,0.593471810089021
"Gm6209",0,0,0,0,0,0.541711809317443,0,0
"Gm13817",0,0,0,0,0,0,0,0
"Gm8221",0,0,0,0,0,0,0,0
